,never talk to me again,3,Unnamed: 2,Unnamed: 3
0,I am proud of your achievements,2,,
1,It is the worst day in my life,3,,
2,Miss you so much,0,, [0]
3,food is life,4,,
4,I love you mum,0,,
5,Stop saying bullshit,3,,
6,congratulations on your acceptance,2,,
7,The assignment is too long ,3,,
8,I want to go play,1,, [3]
9,she did not answer my text ,3,,
10,Your stupidity has no limit,3,,
11,how many points did he score,1,,
12,my algorithm performs poorly,3,,
13,I got approved,2,,
14,Stop shouting at me,3,,
15,Sounds like a fun plan ha ha,2,,
16,no one likes him,3,,
17,the game just finished,1,, [2]
18,I will celebrate soon,2,,
19,So sad you are not coming,3,,
20,She is my dearest love,0,, [1]
21,Good job,2,, [4]
22,It was funny lol,2,,
23,candy is life ,2,,
24,The chicago cubs won again,1,,
25,I am hungry,4,,
26,I am so excited to see you after so long,2,,
27,you did well on you exam,2,,
28,lets brunch some day,4,,
29,he is so cute,0,,
30,How dare you ask that,3,,
31,do you want to join me for dinner ,4,,
32,I said yes,2,,
33,she is attractive,0,,
34,you suck,3,,
35,she smiles a lot,2,,
36,he is laughing,2,,
37,she takes forever to get ready ,3,,
38,French macaroon is so tasty,4,,
39,we made it,2,,
40,I am excited,2,,
41,I adore my dogs,0,,
42,Congratulations,2,,
43,this girl was mean,3,,
44,you two are cute,0,,
45,my code is working but the grader gave me zero,3,,
46,this joke is killing me haha,2,,
47,do you like pizza ,4,,
48,you got a down grade,3,,
49,I missed you,0,,
50,I think I will end up alone,3,,
51,I got humiliated by my sister,3,,
52,you are awful,3,,
53,I cooked meat,4,,
54,This is so funny,2,,
55,lets exercise,1,,
56,he is the best player,1,,
57,I am going to the stadium,1,, [0]
58,You are incredibly intelligent and talented,2,,
59,Stop shouting at me,3,,
60,Who is your favorite player,1,,
61,I like you a lot,0,,
62,i miss him,0,,
63,my dog just had a few puppies,0,,
64,I hate him,3,,
65,I want chinese food,4,,
66,cookies are good,4,,
67,her smile is so charming,2,,
68,Bravo for the announcement it got a lot of traction,2,, [3]
69,she plays baseball,1,,
70,he did an amazing job,2,,
71,The baby is adorable,0,,
72,I was waiting for her for two hours ,3,,
73,funny,2,,
74,I like it when people smile,2,,
75,I love dogs,0,,v2
76,they are so kind and friendly,0,, [0]
77,So bad that you cannot come with us,3,,
78,he likes baseball,1,,
79,I am so impressed by your dedication to this project,2,,
80,I am at the baseball game,1,, [0]
81,Bravo,2,,
82,What a fun moment,2,,
83,I want to have sushi for dinner,4,,
84,I am very disappointed,3,,
85,he can not do anything,3,,
86,lol,2,,
87,Lets have food together,4,,
88,she is so cute,0,,
89,miss you my dear,0,, [6]
90,I am looking for a date,0,,
91,I am frustrated,3,,
92,I lost my wallet,3,,
93,you failed the midterm,3,,
94,ha ha ha it was so funny,2,,
95,Do you want to give me a hug,0,,
96,who is playing in the final,1,,
97,she is happy,2,,
98,You are not qualified for this position,3,,
99,I love my dad,0,,
100,this guy was such a joke,2,,
101,Good joke,2,,
102,This specialization is great,2,,
103,you could not solve it,3,,
104,I am so happy for you,2,,
105,Congrats on the new job,2,,
106,I am proud of you forever,2,,
107,I want to eat,4,,
108,That catcher sucks ,1,,
109,The first base man got the ball,1,,
110,this is bad,3,,
111,you did not do your homework,3,,
112,I will have a cheese cake,4,,
113,do you have a ball,1,,
114,the lectures are great though ,2,,
115,Are you down for baseball this afternoon,1,,
116,what are the rules of the game,1,,
117,I am always working,3,,
118,where is the stadium,1,,
119,She is the cutest person I have ever seen,0,, [4]
120,vegetables are healthy,4,,
121,he is handsome,0,,
122,too bad that you were not here,3,,
123,you are a loser,3,,
124,I love indian food,4,,
125,Who is down for a restaurant,4,,
126,he had to make a home run,1,,
127,I am ordering food,4,,
128,What is wrong with you,3,,
129,I love you,0,,
130,great job,2,,
